"zone","month","cruise_id","year(year_mo)","n_casts","mean_vol","sd_vol","tot_vol"
"epi","Jan","10377",2021,8,0.704653125,0.121190598892491,45.0978
"epi","Jan","10389",2022,9,0.923575714285714,0.0861358203454513,64.6503
"epi","Feb","10378",2021,12,0.966945833333333,0.0869960106970026,92.8268
"epi","Mar","10379",2021,6,0.920608333333333,0.118889862913312,44.1892
"epi","Mar","20379",2021,6,0.8909,0.219594906112819,39.1996
"epi","Apr","10380",2021,7,0.662596,0.193906996389969,33.1298
"epi","Jun","10382",2021,29,0.94902025862069,0.156816355974852,220.1727
"epi","Jul","10361",2019,19,1.04348378378378,0.188952525461034,154.4356
"epi","Jul","10383",2021,20,1.0373,0.111490331814244,165.968
"epi","Aug","10362",2019,13,0.943437,0.111625988660546,94.3437
"epi","Aug","10384",2021,14,0.894988785046729,0.222176394024472,95.7638
"epi","Sep","10363",2019,20,0.981391612903226,0.162404836452693,152.1157
"epi","Sep","10385",2021,10,1.00166282051282,0.160217876095375,78.1297
"epi","Oct","10374",2020,17,0.979703676470588,0.0951596828790571,133.2397
"epi","Oct","10386",2021,13,0.970646875,0.158148809305883,93.1821
"epi","Nov","10375",2020,6,0.908920833333333,0.0935083861487399,43.6282
"epi","Nov","10387",2021,18,0.918897222222222,0.163086992936154,132.3212
"epi","Dec","10376",2020,22,0.95785625,0.105050678195268,168.5827
"epi","Dec","10388",2021,21,0.950864880952381,0.124571221068707,159.7453
"meso","Jan","10377",2021,7,0.519832335329341,0.101599639662024,86.812
"meso","Jan","10389",2022,9,0.611024056603774,0.0806985005854267,129.5371
"meso","Feb","10378",2021,12,0.590626878612717,0.0627482122853816,204.3569
"meso","Mar","10379",2021,6,0.569578571428571,0.0664519187960087,87.7151
"meso","Mar","20379",2021,6,0.548696296296296,0.0757314919090944,74.074
"meso","Apr","10380",2021,6,0.552536111111111,0.115071530711653,99.4565
"meso","Jun","10382",2021,29,0.558855291005291,0.0752870730998469,422.4946
"meso","Jul","10361",2019,19,0.597501633393829,0.0595130126111462,329.2234
"meso","Jul","10383",2021,20,0.561459960552268,0.0634556930046627,284.6602
"meso","Aug","10362",2019,12,0.578402,0.0705398983094795,173.5206
"meso","Aug","10384",2021,14,0.599936857142857,0.162066046483398,209.9779
"meso","Sep","10363",2019,20,0.612274528301887,0.0668100428553719,324.5055
"meso","Sep","10385",2021,10,0.670428846153846,0.127800351865272,174.3115
"meso","Oct","10374",2020,17,0.550923798627002,0.0553771168852999,240.7537
"meso","Oct","10386",2021,13,0.593901655629139,0.0722057564167031,179.3583
"meso","Nov","10375",2020,6,0.557138541666667,0.0463540051637479,106.9706
"meso","Nov","10387",2021,18,0.634630073349633,0.114327187210802,259.5637
"meso","Dec","10376",2020,22,0.581229140127389,0.0583531439142921,365.0119
"meso","Dec","10388",2021,21,0.630753726169844,0.0718947491525606,363.9449
